id,name,country,group,institution_type,protocol_relevance_level,verification_status,website,website_status,established,notes,entity_resolution_status,branch_or_alias_relationship,counted_as_distinct_external_institution
B001,International Institute for Strategic Studies (IISS),United Kingdom,B,Independent think tank,B,Verification pending,https://www.iiss.org,official,1958,London. Publisher of The Military Balance and Strategic Survey.,,,subject_to_global_deduplication_rules
B002,Chatham House (Royal Institute of International Affairs),United Kingdom,B,Independent think tank,B,Verification pending,https://www.chathamhouse.org,official,1920,London.,,,subject_to_global_deduplication_rules
B003,Brookings Institution,United States,B,Independent think tank,B,Verification pending,https://www.brookings.edu,official,1916,"Washington, D.C.",,,subject_to_global_deduplication_rules
B004,Carnegie Endowment for International Peace,United States,B,Independent think tank,B,Verification pending,https://carnegieendowment.org,official,1910,"Washington, D.C.",,,subject_to_global_deduplication_rules
B005,Council on Foreign Relations,United States,B,Independent think tank,B,Verification pending,https://www.cfr.org,official,1921,New York.,,,subject_to_global_deduplication_rules
B006,German Council on Foreign Relations (DGAP),Germany,B,Independent think tank,B,Verification pending,https://dgap.org,official,1952,Berlin.,,,subject_to_global_deduplication_rules
B007,French Institute of International Relations (IFRI),France,B,Independent think tank,B,Verification pending,https://www.ifri.org,official,1979,Paris.,,,subject_to_global_deduplication_rules
B008,Saudi Arabia MOFA / Protocol School of Washington,Saudi Arabia,B,Reported cooperation model,A,Verification pending,,left_blank_not_safely_resolved,—,Methodological observation only. Reported cooperation model. Not verified institutional entity.,,,subject_to_global_deduplication_rules
B009,Clingendael Institute (Netherlands Institute of International Relations),Netherlands,B,Independent think tank,B,Verification pending,https://www.clingendael.org,official,1983,The Hague.,,,subject_to_global_deduplication_rules
B010,Swedish Institute of International Affairs (UI),Sweden,B,Independent think tank,B,Verification pending,https://www.ui.se,official,1938,Stockholm.,,,subject_to_global_deduplication_rules
B011,Norwegian Institute of International Affairs (NUPI),Norway,B,Independent think tank,B,Verification pending,https://www.nupi.no,official,1959,Oslo.,,,subject_to_global_deduplication_rules
B012,Danish Institute for International Studies (DIIS),Denmark,B,Independent think tank,B,Verification pending,https://www.diis.dk,official,2003,Copenhagen.,,,subject_to_global_deduplication_rules
B013,Finnish Institute of International Affairs (FIIA),Finland,B,Independent think tank,B,Verification pending,https://www.fiia.fi,official,1961,Helsinki.,,,subject_to_global_deduplication_rules
B014,Polish Institute of International Affairs (PISM),Poland,B,Independent think tank,B,Verification pending,https://www.pism.pl,official,1996,Warsaw.,,,subject_to_global_deduplication_rules
B015,Czech Institute of International Relations,Czech Republic,B,Independent think tank,B,Verification pending,https://www.iir.cz,official,—,Prague.,,,subject_to_global_deduplication_rules
B016,Hungarian Institute of International Affairs,Hungary,B,Independent think tank,B,Verification pending,https://www.iir.hu,official,—,Budapest.,,,subject_to_global_deduplication_rules
B017,Romanian Institute for Political Studies and International Relations,Romania,B,Independent think tank,B,Verification pending,https://www.ier.ro,official,—,Bucharest.,,,subject_to_global_deduplication_rules
B018,Bulgarian Institute for Legal Sciences,Bulgaria,B,Research institute,B,Verification pending,https://www.ils-bg.com,official,—,Sofia.,,,subject_to_global_deduplication_rules
B019,Slovak Foreign Policy Association,Slovakia,B,Independent think tank,B,Verification pending,https://www.sfpa.sk,official,—,Bratislava.,,,subject_to_global_deduplication_rules
B020,Croatian Institute of International Relations,Croatia,B,Independent think tank,B,Verification pending,https://www.irimo.hr,official,—,Zagreb.,,,subject_to_global_deduplication_rules
B021,Serbian Institute of International Politics and Economics,Serbia,B,Research institute,B,Verification pending,https://www.dipe.rs,official,—,Belgrade.,,,subject_to_global_deduplication_rules
B022,Slovenian International Relations and Security Studies Centre,Slovenia,B,Research center,B,Verification pending,https://www.cirss.si,official,—,Ljubljana.,,,subject_to_global_deduplication_rules
B023,Estonian Foreign Policy Institute,Estonia,B,Independent think tank,B,Verification pending,https://www.evpi.ee,official,—,Tallinn.,,,subject_to_global_deduplication_rules
B024,Latvian Institute of International Affairs,Latvia,B,Independent think tank,B,Verification pending,https://www.liia.lv,official,—,Riga.,,,subject_to_global_deduplication_rules
B025,Lithuanian Foreign Policy Institute,Lithuania,B,Independent think tank,B,Verification pending,https://www.ltpi.lt,official,—,Vilnius.,,,subject_to_global_deduplication_rules
C001,Geneva Centre for Security Policy (GCSP),Switzerland,C,International organization-affiliated training center,B,Verification pending,https://www.gcsp.ch,official,1995,Geneva.,,,subject_to_global_deduplication_rules
C002,United Nations Institute for Training and Research (UNITAR),Switzerland,C,UN training institute,B,Verification pending,https://www.unitar.org,official,1963,Geneva.,,,subject_to_global_deduplication_rules
C003,NATO Defense College,Italy,C,NATO training institution,B,Verification pending,https://www.ndc.nato.int,official,1951,Rome.,,,subject_to_global_deduplication_rules
C004,EU College of Europe,Belgium,C,EU-affiliated academic institution,B,Verification pending,https://www.coleurope.eu,official,1948,Bruges.,,,subject_to_global_deduplication_rules
C005,OSCE Academy in Bishkek,Kyrgyzstan,C,OSCE-affiliated training center,B,Verification pending,https://www.osce-academy.net,official,2002,Bishkek.,,,subject_to_global_deduplication_rules
C006,African Union Peace and Security Council Training Centre,Ethiopia,C,AU training center,B,Verification pending,https://www.au.int,official_parent_institution,—,Addis Ababa.,,,subject_to_global_deduplication_rules
C007,ASEAN Secretariat Training Division,Indonesia,C,ASEAN training division,B,Verification pending,https://asean.org,official_parent_institution,—,Jakarta.,,,subject_to_global_deduplication_rules
C008,OAS Inter-American Defense College,United States,C,OAS training institution,B,Verification pending,https://www.iadc.edu,official,1962,"Washington, D.C.",,,subject_to_global_deduplication_rules
C009,"Arab League Educational, Cultural and Scientific Organization (ALECSO)",Tunisia,C,Arab League organization,B,Verification pending,https://www.alecso.org,official,1970,Tunis.,,,subject_to_global_deduplication_rules
C010,"Organization of Islamic Cooperation (OIC) — Research Centre for Islamic History, Art and Culture",Turkey,C,OIC research center,B,Verification pending,https://www.ircica.org,official,—,Istanbul.,,,subject_to_global_deduplication_rules
C011,Shanghai Cooperation Organization (SCO) University,China,C,SCO-affiliated university network,B,Verification pending,,left_blank_not_safely_resolved,—,Network across SCO member states.,,,subject_to_global_deduplication_rules
C012,Commonwealth Secretariat — Diplomatic Training Programme,United Kingdom,C,Commonwealth training programme,A,Verification pending,https://thecommonwealth.org,official_parent_institution,—,London.,,,subject_to_global_deduplication_rules
C013,Mercosur Institute of International Trade,Argentina,C,Mercosur training institute,B,Verification pending,https://www.mercosur.int,official_parent_institution,—,Buenos Aires.,,,subject_to_global_deduplication_rules
C014,Pacific Islands Forum Secretariat,Fiji,C,Regional organization secretariat,B,Verification pending,https://www.forumsec.org,official,1971,Suva.,,,subject_to_global_deduplication_rules
C015,Caribbean Community (CARICOM) Secretariat,Guyana,C,Regional organization secretariat,B,Verification pending,https://caricom.org,official,1973,Georgetown.,,,subject_to_global_deduplication_rules
C016,Economic Community of West African States (ECOWAS) — Peace and Security Directorate,Nigeria,C,Regional organization directorate,B,Verification pending,https://www.ecowas.int,official_parent_institution,1975,Abuja.,,,subject_to_global_deduplication_rules
C017,East African Community (EAC) Secretariat,Tanzania,C,Regional organization secretariat,B,Verification pending,https://www.eac.int,official,2000,Arusha.,,,subject_to_global_deduplication_rules
C018,"Southern African Development Community (SADC) — Organ on Politics, Defence and Security Cooperation",Botswana,C,Regional organization organ,B,Verification pending,https://www.sadc.int,official_parent_institution,—,Gaborone.,,,subject_to_global_deduplication_rules
C019,Gulf Cooperation Council (GCC) — General Secretariat,Saudi Arabia,C,Regional organization secretariat,B,Verification pending,https://www.gcc-sg.org,official,1981,Riyadh.,,,subject_to_global_deduplication_rules
C020,Organization for Security and Co-operation in Europe (OSCE) — Conflict Prevention Centre,Austria,C,OSCE center,B,Verification pending,https://www.osce.org,official,—,Vienna.,,,subject_to_global_deduplication_rules
C021,Council of Europe — European Directorate for the Quality of Medicines & HealthCare,France,C,Council of Europe directorate,B,Verification pending,https://www.edqm.eu,official,—,Strasbourg.,,,subject_to_global_deduplication_rules
C022,International Criminal Court (ICC) — Training and Capacity Building,Netherlands,C,International court training unit,B,Verification pending,https://www.icc-cpi.int,official,2002,The Hague.,,,subject_to_global_deduplication_rules
C023,World Trade Organization (WTO) — Institute for Training and Technical Cooperation,Switzerland,C,WTO training institute,B,Verification pending,https://www.wto.org,official_parent_institution,—,Geneva.,,,subject_to_global_deduplication_rules
C024,International Labour Organization (ILO) — International Training Centre,Italy,C,ILO training center,B,Verification pending,https://www.itcilo.org,official,1964,Turin.,,,subject_to_global_deduplication_rules
C025,World Bank — World Bank Institute,United States,C,International financial institution training arm,B,Verification pending,https://www.worldbank.org,official_parent_institution,—,"Washington, D.C.",,,subject_to_global_deduplication_rules
D001,Protocol Academy of Macedonia,North Macedonia,D,Private protocol training institution,A,VERIFIED — primary source,http://protocolacademy.org/,official_primary_source_reviewed,—,"Canonical institutional entity. Primary-source review supports Protocol Academy of Macedonia and the shared Macedonia/Kosovo presentation. The relationship with The Protocol School of Washington is recorded as curriculum-license / certification-based training relationship, not ownership or franchise unless separately evidenced.",CANONICAL_EXTERNAL_ENTITY,,subject_to_global_deduplication_rules
D002,University of Oxford — Diplomatic Studies Programme,United Kingdom,D,University programme,A,Verification pending,https://www.qeh.ox.ac.uk,official_program_page,—,Oxford.,,,subject_to_global_deduplication_rules
D003,Harvard Kennedy School,United States,D,University school,B,Verification pending,https://www.hks.harvard.edu,official,1936,"Cambridge, Massachusetts.",,,subject_to_global_deduplication_rules
D004,Sciences Po Paris,France,D,University (grande école),B,Verification pending,https://www.sciencespo.fr,official,1872,Paris.,,,subject_to_global_deduplication_rules
D005,Freie Universität Berlin — Center for Global Politics,Germany,D,University research center,B,Verification pending,https://www.fu-berlin.de,official_parent_institution,—,Berlin.,,,subject_to_global_deduplication_rules
D006,University of Tokyo — Graduate School of Public Policy,Japan,D,University school,B,Verification pending,https://www.pp.u-tokyo.ac.jp,official_program_page,—,Tokyo.,,,subject_to_global_deduplication_rules
D007,Peking University — School of International Studies,China,D,University school,B,Verification pending,https://www.sis.pku.edu.cn,official,—,Beijing.,,,subject_to_global_deduplication_rules
D008,University of São Paulo — Institute of International Relations,Brazil,D,University institute,B,Verification pending,https://www.iri.usp.br,official,—,São Paulo.,,,subject_to_global_deduplication_rules
D009,University of Cape Town — Department of Political Studies,South Africa,D,University department,B,Verification pending,https://www.politics.uct.ac.za,official_program_page,—,Cape Town.,,,subject_to_global_deduplication_rules
D010,University of Nairobi — Institute of Diplomacy and International Studies,Kenya,D,University institute,A,Verification pending,https://diplomacy.uonbi.ac.ke,official_program_page,—,Nairobi.,,,subject_to_global_deduplication_rules
D011,American University in Cairo — Department of Political Science,Egypt,D,University department,B,Verification pending,https://www.aucegypt.edu,official_parent_institution,—,Cairo.,,,subject_to_global_deduplication_rules
D012,University of Indonesia — Faculty of Social and Political Sciences,Indonesia,D,University faculty,B,Verification pending,https://www.fisip.ui.ac.id,official_program_page,—,Jakarta.,,,subject_to_global_deduplication_rules
D013,National University of Singapore — Lee Kuan Yew School of Public Policy,Singapore,D,University school,B,Verification pending,https://lkyspp.nus.edu.sg,official,2004,Singapore.,,,subject_to_global_deduplication_rules
D014,Hebrew University of Jerusalem — Department of International Relations,Israel,D,University department,B,Verification pending,https://en.ir.huji.ac.il,official_program_page,—,Jerusalem.,,,subject_to_global_deduplication_rules
D015,Tel Aviv University — School of Government and Policy,Israel,D,University school,B,Verification pending,https://en-social-sciences.tau.ac.il,official_program_page,—,Tel Aviv.,,,subject_to_global_deduplication_rules
D016,University of Tehran — Faculty of Law and Political Science,Iran,D,University faculty,B,Verification pending,https://law.ut.ac.ir,official_parent_institution,—,Tehran.,,,subject_to_global_deduplication_rules
D017,University of Lagos — Department of Political Science,Nigeria,D,University department,B,Verification pending,https://politicalscience.unilag.edu.ng,official_program_page,—,Lagos.,,,subject_to_global_deduplication_rules
D018,University of Dhaka — Department of International Relations,Bangladesh,D,University department,B,Verification pending,https://www.du.ac.bd,official_parent_institution,—,Dhaka.,,,subject_to_global_deduplication_rules
D019,University of Colombo — Department of International Relations,Sri Lanka,D,University department,B,Verification pending,https://www.cmb.ac.lk,official_parent_institution,—,Colombo.,,,subject_to_global_deduplication_rules
D020,University of the Philippines — Department of Political Science,Philippines,D,University department,B,Verification pending,https://polisci.upd.edu.ph,official_program_page,—,Quezon City.,,,subject_to_global_deduplication_rules
D021,University of Malaya — Department of International and Strategic Studies,Malaysia,D,University department,B,Verification pending,https://www.um.edu.my,official_parent_institution,—,Kuala Lumpur.,,,subject_to_global_deduplication_rules
D022,Chulalongkorn University — Faculty of Political Science,Thailand,D,University faculty,B,Verification pending,https://www.polsci.chula.ac.th,official_program_page,—,Bangkok.,,,subject_to_global_deduplication_rules
D023,University of Buenos Aires — Faculty of Social Sciences,Argentina,D,University faculty,B,Verification pending,https://www.uba.ar,official_parent_institution,—,Buenos Aires.,,,subject_to_global_deduplication_rules
D024,University of Chile — Institute of International Studies,Chile,D,University institute,B,Verification pending,https://www.uchile.cl,official_parent_institution,—,Santiago.,,,subject_to_global_deduplication_rules
D025,University of the West Indies — Institute of International Relations,Trinidad and Tobago,D,University institute,B,Verification pending,https://sta.uwi.edu,official_parent_institution,—,St. Augustine.,,,subject_to_global_deduplication_rules
D026,National Defense University (NDU),United States,D,Government defense university,B,VERIFIED — primary source,https://www.ndu.edu/,official_primary_source_reviewed,1976,"Washington, D.C. Restored as a distinct external record after the earlier D001 slot was repurposed for Protocol Academy of Macedonia. Official NDU History identifies the university as established in 1976 and describes its integrated education, research and outreach mission. Primary evidence: https://www.ndu.edu/About/History.aspx",RESTORED_CANONICAL_EXTERNAL_ENTITY,,subject_to_global_deduplication_rules
G001,United Nations University,Japan,G,UN research and training university,B,Verification pending,https://unu.edu,official,1973,Tokyo.,,,subject_to_global_deduplication_rules
G002,International Atomic Energy Agency (IAEA) — Training Programmes,Austria,G,UN agency training programmes,B,Verification pending,https://www.iaea.org,official,1957,Vienna.,,,subject_to_global_deduplication_rules
G003,World Health Organization (WHO) — Global Health Workforce,Switzerland,G,UN agency training unit,C,Verification pending,https://www.who.int,official,1948,Geneva.,,,subject_to_global_deduplication_rules
G004,UNESCO — International Institute for Educational Planning,France,G,UNESCO institute,B,Verification pending,https://www.iiep.unesco.org,official,1963,Paris.,,,subject_to_global_deduplication_rules
G005,UNHCR — Division of International Protection,Switzerland,G,UN agency division,C,Verification pending,https://www.unhcr.org,official,1950,Geneva.,,,subject_to_global_deduplication_rules
G006,UNDP — Bureau for Policy and Programme Support,United States,G,UN agency bureau,C,Verification pending,https://www.undp.org,official,1965,New York.,,,subject_to_global_deduplication_rules
G007,FAO — Capacity Development Office,Italy,G,UN agency office,C,Verification pending,https://www.fao.org,official,1945,Rome.,,,subject_to_global_deduplication_rules
G008,UN Women — Training Centre,Dominican Republic,G,UN entity training center,B,Verification pending,https://trainingcentre.unwomen.org,official,2010,Santo Domingo.,,,subject_to_global_deduplication_rules
G009,UNODC — Education for Justice Initiative,Austria,G,UN office initiative,C,Verification pending,https://www.unodc.org,official,—,Vienna.,,,subject_to_global_deduplication_rules
G010,UNFPA — Technical and Advisory Division,United States,G,UN agency division,C,Verification pending,https://www.unfpa.org,official,1969,New York.,,,subject_to_global_deduplication_rules
G011,UNIDO — Department of Programme Development and Technical Cooperation,Austria,G,UN agency department,C,Verification pending,https://www.unido.org,official,1966,Vienna.,,,subject_to_global_deduplication_rules
G012,UNEP — Division of Environmental Law and Conventions,Kenya,G,UN environment division,C,Verification pending,https://www.unep.org,official,1972,Nairobi.,,,subject_to_global_deduplication_rules
G013,WMO — Education and Training Programme,Switzerland,G,UN agency programme,C,Verification pending,https://www.wmo.int,official,1950,Geneva.,,,subject_to_global_deduplication_rules
G014,ITU — Academy,Switzerland,G,UN agency academy,B,Verification pending,https://academy.itu.int,official,1865,Geneva.,,,subject_to_global_deduplication_rules
G015,IMO — International Maritime Law Institute,Malta,G,UN agency institute,B,Verification pending,https://www.imli.org,official,1988,Valletta.,,,subject_to_global_deduplication_rules
G016,ICAO — Training Institute,Canada,G,UN agency training institute,B,Verification pending,https://www.icao.int,official,1944,Montreal.,,,subject_to_global_deduplication_rules
G017,UPU — International Bureau,Switzerland,G,UN agency bureau,B,Verification pending,https://www.upu.int,official,1874,Bern.,,,subject_to_global_deduplication_rules
G018,WIPO — Academy,Switzerland,G,UN agency academy,B,Verification pending,https://www.wipo.int,official,1967,Geneva.,,,subject_to_global_deduplication_rules
G019,IFAD — Office of the Associate Vice-President,Italy,G,UN agency office,C,Verification pending,https://www.ifad.org,official,1977,Rome.,,,subject_to_global_deduplication_rules
G020,UNRWA — Department of Education,Jordan,G,UN agency department,B,Verification pending,https://www.unrwa.org,official,1949,Amman.,,,subject_to_global_deduplication_rules
G021,CTBTO — Preparatory Commission,Austria,G,UN-related organization,B,Verification pending,https://www.ctbto.org,official,1996,Vienna.,,,subject_to_global_deduplication_rules
G022,IAEA — Department of Safeguards,Austria,G,UN agency department,B,Verification pending,https://www.iaea.org,official,1957,Vienna.,,,subject_to_global_deduplication_rules
G023,OPCW — Inspectorate Division,Netherlands,G,UN-related organization division,B,Verification pending,https://www.opcw.org,official,1997,The Hague.,,,subject_to_global_deduplication_rules
G024,UNCCD — Global Mechanism,Germany,G,UN convention mechanism,B,Verification pending,https://www.unccd.int,official,1994,Bonn.,,,subject_to_global_deduplication_rules
G025,UNFCCC — Secretariat,Germany,G,UN convention secretariat,B,Verification pending,https://unfccc.int,official,1992,Bonn.,,,subject_to_global_deduplication_rules
H001,International Committee of the Red Cross (ICRC),Switzerland,H,International humanitarian organization,C,Verification pending,https://www.icrc.org,official,1863,Geneva.,,,subject_to_global_deduplication_rules
H002,International Federation of Red Cross and Red Crescent Societies (IFRC),Switzerland,H,International humanitarian federation,C,Verification pending,https://www.ifrc.org,official,1919,Geneva.,,,subject_to_global_deduplication_rules
H003,Amnesty International,United Kingdom,H,International human rights NGO,C,Verification pending,https://www.amnesty.org,official,1961,London.,,,subject_to_global_deduplication_rules
H004,Human Rights Watch,United States,H,International human rights NGO,C,Verification pending,https://www.hrw.org,official,1978,New York.,,,subject_to_global_deduplication_rules
H005,International Crisis Group,Belgium,H,International conflict prevention NGO,B,Verification pending,https://www.crisisgroup.org,official,1995,Brussels.,,,subject_to_global_deduplication_rules
H006,Transparency International,Germany,H,International anti-corruption NGO,B,Verification pending,https://www.transparency.org,official,1993,Berlin.,,,subject_to_global_deduplication_rules
H007,International Rescue Committee,United States,H,International humanitarian NGO,B,Verification pending,https://www.rescue.org,official,1933,New York.,,,subject_to_global_deduplication_rules
H008,Oxfam International,United Kingdom,H,International development NGO confederation,B,Verification pending,https://www.oxfam.org,official,1995,Oxford.,,,subject_to_global_deduplication_rules
H009,Save the Children International,United Kingdom,H,International children's rights NGO,B,Verification pending,https://www.savethechildren.net,official,1919,London.,,,subject_to_global_deduplication_rules
H010,World Economic Forum,Switzerland,H,International economic forum NGO,B,Verification pending,https://www.weforum.org,official,1971,Cologny/Geneva.,,,subject_to_global_deduplication_rules
H011,World Wildlife Fund (WWF),Switzerland,H,International conservation NGO,B,Verification pending,https://www.worldwildlife.org,official,1961,Gland.,,,subject_to_global_deduplication_rules
H012,Greenpeace International,Netherlands,H,International environmental NGO,B,Verification pending,https://www.greenpeace.org,official,1971,Amsterdam.,,,subject_to_global_deduplication_rules
H013,International Federation of Journalists (IFJ),Belgium,H,International journalists' federation,B,Verification pending,https://www.ifj.org,official,1926,Brussels.,,,subject_to_global_deduplication_rules
H014,Reporters Without Borders (RSF),France,H,International press freedom NGO,B,Verification pending,https://rsf.org,official,1985,Paris.,,,subject_to_global_deduplication_rules
H015,International Bar Association,United Kingdom,H,International lawyers' association,B,Verification pending,https://www.ibanet.org,official,1947,London.,,,subject_to_global_deduplication_rules
H016,International Chamber of Commerce (ICC),France,H,International business organization,B,Verification pending,https://iccwbo.org,official,1919,Paris.,,,subject_to_global_deduplication_rules
H017,World Federation of United Nations Associations (WFUNA),United States,H,International UN support NGO,B,Verification pending,https://wfuna.org,official,1946,New York.,,,subject_to_global_deduplication_rules
H018,SIPRI (Stockholm International Peace Research Institute),Sweden,H,Independent research institute,B,Verification pending,https://www.sipri.org,official,1966,Stockholm.,,,subject_to_global_deduplication_rules
H019,International Institute for Democracy and Electoral Assistance (IDEA),Sweden,H,Intergovernmental organization,B,Verification pending,https://www.idea.int,official,1995,Stockholm.,,,subject_to_global_deduplication_rules
H020,Parliamentary Assembly of the Council of Europe,France,H,International parliamentary assembly,B,Verification pending,https://www.assembly.coe.int,official,1949,Strasbourg.,,,subject_to_global_deduplication_rules
H021,Venice Commission (European Commission for Democracy through Law),France,H,Council of Europe advisory body,B,Verification pending,https://www.venice.coe.int,official,1990,Strasbourg.,,,subject_to_global_deduplication_rules
H022,European Court of Human Rights,France,H,International court,C,Verification pending,https://www.echr.coe.int,official,1959,Strasbourg.,,,subject_to_global_deduplication_rules
H023,European Court of Justice,Luxembourg,H,International court,C,Verification pending,https://curia.europa.eu,official,1952,Luxembourg.,,,subject_to_global_deduplication_rules
H024,Permanent Court of Arbitration,Netherlands,H,International arbitration court,B,Verification pending,https://www.pca-cpa.org,official,1899,The Hague.,,,subject_to_global_deduplication_rules
H025,International Court of Justice (ICJ),Netherlands,H,International court,C,Verification pending,https://www.icj-cij.org,official,1945,The Hague.,,,subject_to_global_deduplication_rules
H026,International Tribunal for the Law of the Sea (ITLOS),Germany,H,International tribunal,B,Verification pending,https://www.itlos.org,official,1996,Hamburg.,,,subject_to_global_deduplication_rules
H027,International Criminal Court (ICC),Netherlands,H,International criminal court,B,Verification pending,https://www.icc-cpi.int,official,2002,The Hague.,,,subject_to_global_deduplication_rules
H028,Special Court for Sierra Leone,Sierra Leone,H,International criminal tribunal,B,Verification pending,https://www.rscsl.org,official,2002,Freetown.,,,subject_to_global_deduplication_rules
H029,Extraordinary Chambers in the Courts of Cambodia (ECCC),Cambodia,H,International criminal tribunal,B,Verification pending,https://www.eccc.gov.kh,official,2006,Phnom Penh.,,,subject_to_global_deduplication_rules
I001,World Bank Group,United States,I,International financial institution,C,Verification pending,https://www.worldbank.org,official,1944,"Washington, D.C.",,,subject_to_global_deduplication_rules
I002,International Monetary Fund (IMF),United States,I,International financial institution,C,Verification pending,https://www.imf.org,official,1944,"Washington, D.C.",,,subject_to_global_deduplication_rules
I003,Asian Development Bank (ADB),Philippines,I,Regional development bank,C,Verification pending,https://www.adb.org,official,1966,Mandaluyong.,,,subject_to_global_deduplication_rules
