id,name,country,group,institution_type,protocol_relevance_level,verification_status,website,website_status,established,notes
B012,Danish Institute for International Studies (DIIS),Denmark,B,Independent think tank,B,Verification pending,https://www.diis.dk,official,2003,Copenhagen.
B013,Finnish Institute of International Affairs (FIIA),Finland,B,Independent think tank,B,Verification pending,https://www.fiia.fi,official,1961,Helsinki.
B014,Polish Institute of International Affairs (PISM),Poland,B,Independent think tank,B,Verification pending,https://www.pism.pl,official,1996,Warsaw.
B015,Czech Institute of International Relations,Czech Republic,B,Independent think tank,B,Verification pending,https://www.iir.cz,official,—,Prague.
B016,Hungarian Institute of International Affairs,Hungary,B,Independent think tank,B,Verification pending,https://www.iir.hu,official,—,Budapest.
B017,Romanian Institute for Political Studies and International Relations,Romania,B,Independent think tank,B,Verification pending,https://www.ier.ro,official,—,Bucharest.
B018,Bulgarian Institute for Legal Sciences,Bulgaria,B,Research institute,B,Verification pending,https://www.ils-bg.com,official,—,Sofia.
B019,Slovak Foreign Policy Association,Slovakia,B,Independent think tank,B,Verification pending,https://www.sfpa.sk,official,—,Bratislava.
B020,Croatian Institute of International Relations,Croatia,B,Independent think tank,B,Verification pending,https://www.irimo.hr,official,—,Zagreb.
B021,Serbian Institute of International Politics and Economics,Serbia,B,Research institute,B,Verification pending,https://www.dipe.rs,official,—,Belgrade.
B022,Slovenian International Relations and Security Studies Centre,Slovenia,B,Research center,B,Verification pending,https://www.cirss.si,official,—,Ljubljana.
B023,Estonian Foreign Policy Institute,Estonia,B,Independent think tank,B,Verification pending,https://www.evpi.ee,official,—,Tallinn.
B024,Latvian Institute of International Affairs,Latvia,B,Independent think tank,B,Verification pending,https://www.liia.lv,official,—,Riga.
B025,Lithuanian Foreign Policy Institute,Lithuania,B,Independent think tank,B,Verification pending,https://www.ltpi.lt,official,—,Vilnius.
C001,Geneva Centre for Security Policy (GCSP),Switzerland,C,International organization-affiliated training center,B,Verification pending,https://www.gcsp.ch,official,1995,Geneva.
C002,United Nations Institute for Training and Research (UNITAR),Switzerland,C,UN training institute,B,Verification pending,https://www.unitar.org,official,1963,Geneva.
C003,NATO Defense College,Italy,C,NATO training institution,B,Verification pending,https://www.ndc.nato.int,official,1951,Rome.
C004,EU College of Europe,Belgium,C,EU-affiliated academic institution,B,Verification pending,https://www.coleurope.eu,official,1948,Bruges.
C005,OSCE Academy in Bishkek,Kyrgyzstan,C,OSCE-affiliated training center,B,Verification pending,https://www.osce-academy.net,official,2002,Bishkek.
C006,African Union Peace and Security Council Training Centre,Ethiopia,C,AU training center,B,Verification pending,https://www.au.int,official_parent_institution,—,Addis Ababa.
C007,ASEAN Secretariat Training Division,Indonesia,C,ASEAN training division,B,Verification pending,https://asean.org,official_parent_institution,—,Jakarta.
C008,OAS Inter-American Defense College,United States,C,OAS training institution,B,Verification pending,https://www.iadc.edu,official,1962,"Washington, D.C."
C009,"Arab League Educational, Cultural and Scientific Organization (ALECSO)",Tunisia,C,Arab League organization,B,Verification pending,https://www.alecso.org,official,1970,Tunis.
C010,"Organization of Islamic Cooperation (OIC) — Research Centre for Islamic History, Art and Culture",Turkey,C,OIC research center,B,Verification pending,https://www.ircica.org,official,—,Istanbul.
C011,Shanghai Cooperation Organization (SCO) University,China,C,SCO-affiliated university network,B,Verification pending,,left_blank_not_safely_resolved,—,Network across SCO member states.
C012,Commonwealth Secretariat — Diplomatic Training Programme,United Kingdom,C,Commonwealth training programme,A,Verification pending,https://thecommonwealth.org,official_parent_institution,—,London.
C013,Mercosur Institute of International Trade,Argentina,C,Mercosur training institute,B,Verification pending,https://www.mercosur.int,official_parent_institution,—,Buenos Aires.
C014,Pacific Islands Forum Secretariat,Fiji,C,Regional organization secretariat,B,Verification pending,https://www.forumsec.org,official,1971,Suva.
C015,Caribbean Community (CARICOM) Secretariat,Guyana,C,Regional organization secretariat,B,Verification pending,https://caricom.org,official,1973,Georgetown.
C016,Economic Community of West African States (ECOWAS) — Peace and Security Directorate,Nigeria,C,Regional organization directorate,B,Verification pending,https://www.ecowas.int,official_parent_institution,1975,Abuja.
C017,East African Community (EAC) Secretariat,Tanzania,C,Regional organization secretariat,B,Verification pending,https://www.eac.int,official,2000,Arusha.
C018,"Southern African Development Community (SADC) — Organ on Politics, Defence and Security Cooperation",Botswana,C,Regional organization organ,B,Verification pending,https://www.sadc.int,official_parent_institution,—,Gaborone.
C019,Gulf Cooperation Council (GCC) — General Secretariat,Saudi Arabia,C,Regional organization secretariat,B,Verification pending,https://www.gcc-sg.org,official,1981,Riyadh.
C020,Organization for Security and Co-operation in Europe (OSCE) — Conflict Prevention Centre,Austria,C,OSCE center,B,Verification pending,https://www.osce.org,official,—,Vienna.
C021,Council of Europe — European Directorate for the Quality of Medicines & HealthCare,France,C,Council of Europe directorate,B,Verification pending,https://www.edqm.eu,official,—,Strasbourg.
C022,International Criminal Court (ICC) — Training and Capacity Building,Netherlands,C,International court training unit,B,Verification pending,https://www.icc-cpi.int,official,2002,The Hague.
C023,World Trade Organization (WTO) — Institute for Training and Technical Cooperation,Switzerland,C,WTO training institute,B,Verification pending,https://www.wto.org,official_parent_institution,—,Geneva.
C024,International Labour Organization (ILO) — International Training Centre,Italy,C,ILO training center,B,Verification pending,https://www.itcilo.org,official,1964,Turin.
C025,World Bank — World Bank Institute,United States,C,International financial institution training arm,B,Verification pending,https://www.worldbank.org,official_parent_institution,—,"Washington, D.C."
D001,Protocol Academy of Macedonia,North Macedonia,D,Private protocol training institution,A,Verification pending,http://protocolacademy.org,reported_historical,—,Skopje. Protocol and etiquette training. Linked to Protocol School of Washington curriculum.
D002,University of Oxford — Diplomatic Studies Programme,United Kingdom,D,University programme,A,Verification pending,https://www.qeh.ox.ac.uk,official_program_page,—,Oxford.
D003,Harvard Kennedy School,United States,D,University school,B,Verification pending,https://www.hks.harvard.edu,official,1936,"Cambridge, Massachusetts."
D004,Sciences Po Paris,France,D,University (grande école),B,Verification pending,https://www.sciencespo.fr,official,1872,Paris.
D005,Freie Universität Berlin — Center for Global Politics,Germany,D,University research center,B,Verification pending,https://www.fu-berlin.de,official_parent_institution,—,Berlin.
D006,University of Tokyo — Graduate School of Public Policy,Japan,D,University school,B,Verification pending,https://www.pp.u-tokyo.ac.jp,official_program_page,—,Tokyo.
D007,Peking University — School of International Studies,China,D,University school,B,Verification pending,https://www.sis.pku.edu.cn,official,—,Beijing.
D008,University of São Paulo — Institute of International Relations,Brazil,D,University institute,B,Verification pending,https://www.iri.usp.br,official,—,São Paulo.
D009,University of Cape Town — Department of Political Studies,South Africa,D,University department,B,Verification pending,https://www.politics.uct.ac.za,official_program_page,—,Cape Town.
D010,University of Nairobi — Institute of Diplomacy and International Studies,Kenya,D,University institute,A,Verification pending,https://diplomacy.uonbi.ac.ke,official_program_page,—,Nairobi.
D011,American University in Cairo — Department of Political Science,Egypt,D,University department,B,Verification pending,https://www.aucegypt.edu,official_parent_institution,—,Cairo.
D012,University of Indonesia — Faculty of Social and Political Sciences,Indonesia,D,University faculty,B,Verification pending,https://www.fisip.ui.ac.id,official_program_page,—,Jakarta.
D013,National University of Singapore — Lee Kuan Yew School of Public Policy,Singapore,D,University school,B,Verification pending,https://lkyspp.nus.edu.sg,official,2004,Singapore.
D014,Hebrew University of Jerusalem — Department of International Relations,Israel,D,University department,B,Verification pending,https://en.ir.huji.ac.il,official_program_page,—,Jerusalem.
D015,Tel Aviv University — School of Government and Policy,Israel,D,University school,B,Verification pending,https://en-social-sciences.tau.ac.il,official_program_page,—,Tel Aviv.
D016,University of Tehran — Faculty of Law and Political Science,Iran,D,University faculty,B,Verification pending,https://law.ut.ac.ir,official_parent_institution,—,Tehran.
D017,University of Lagos — Department of Political Science,Nigeria,D,University department,B,Verification pending,https://politicalscience.unilag.edu.ng,official_program_page,—,Lagos.
D018,University of Dhaka — Department of International Relations,Bangladesh,D,University department,B,Verification pending,https://www.du.ac.bd,official_parent_institution,—,Dhaka.
D019,University of Colombo — Department of International Relations,Sri Lanka,D,University department,B,Verification pending,https://www.cmb.ac.lk,official_parent_institution,—,Colombo.
D020,University of the Philippines — Department of Political Science,Philippines,D,University department,B,Verification pending,https://polisci.upd.edu.ph,official_program_page,—,Quezon City.
D021,University of Malaya — Department of International and Strategic Studies,Malaysia,D,University department,B,Verification pending,https://www.um.edu.my,official_parent_institution,—,Kuala Lumpur.
D022,Chulalongkorn University — Faculty of Political Science,Thailand,D,University faculty,B,Verification pending,https://www.polsci.chula.ac.th,official_program_page,—,Bangkok.
D023,University of Buenos Aires — Faculty of Social Sciences,Argentina,D,University faculty,B,Verification pending,https://www.uba.ar,official_parent_institution,—,Buenos Aires.
D024,University of Chile — Institute of International Studies,Chile,D,University institute,B,Verification pending,https://www.uchile.cl,official_parent_institution,—,Santiago.
D025,University of the West Indies — Institute of International Relations,Trinidad and Tobago,D,University institute,B,Verification pending,https://sta.uwi.edu,official_parent_institution,—,St. Augustine.
G001,United Nations University,Japan,G,UN research and training university,B,Verification pending,https://unu.edu,official,1973,Tokyo.
G002,International Atomic Energy Agency (IAEA) — Training Programmes,Austria,G,UN agency training programmes,B,Verification pending,https://www.iaea.org,official,1957,Vienna.
G003,World Health Organization (WHO) — Global Health Workforce,Switzerland,G,UN agency training unit,C,Verification pending,https://www.who.int,official,1948,Geneva.
G004,UNESCO — International Institute for Educational Planning,France,G,UNESCO institute,B,Verification pending,https://www.iiep.unesco.org,official,1963,Paris.
G005,UNHCR — Division of International Protection,Switzerland,G,UN agency division,C,Verification pending,https://www.unhcr.org,official,1950,Geneva.
G006,UNDP — Bureau for Policy and Programme Support,United States,G,UN agency bureau,C,Verification pending,https://www.undp.org,official,1965,New York.
G007,FAO — Capacity Development Office,Italy,G,UN agency office,C,Verification pending,https://www.fao.org,official,1945,Rome.
G008,UN Women — Training Centre,Dominican Republic,G,UN entity training center,B,Verification pending,https://trainingcentre.unwomen.org,official,2010,Santo Domingo.
G009,UNODC — Education for Justice Initiative,Austria,G,UN office initiative,C,Verification pending,https://www.unodc.org,official,—,Vienna.
G010,UNFPA — Technical and Advisory Division,United States,G,UN agency division,C,Verification pending,https://www.unfpa.org,official,1969,New York.
G011,UNIDO — Department of Programme Development and Technical Cooperation,Austria,G,UN agency department,C,Verification pending,https://www.unido.org,official,1966,Vienna.
G012,UNEP — Division of Environmental Law and Conventions,Kenya,G,UN environment division,C,Verification pending,https://www.unep.org,official,1972,Nairobi.
G013,WMO — Education and Training Programme,Switzerland,G,UN agency programme,C,Verification pending,https://www.wmo.int,official,1950,Geneva.
G014,ITU — Academy,Switzerland,G,UN agency academy,B,Verification pending,https://academy.itu.int,official,1865,Geneva.
G015,IMO — International Maritime Law Institute,Malta,G,UN agency institute,B,Verification pending,https://www.imli.org,official,1988,Valletta.
G016,ICAO — Training Institute,Canada,G,UN agency training institute,B,Verification pending,https://www.icao.int,official,1944,Montreal.
G017,UPU — International Bureau,Switzerland,G,UN agency bureau,B,Verification pending,https://www.upu.int,official,1874,Bern.
G018,WIPO — Academy,Switzerland,G,UN agency academy,B,Verification pending,https://www.wipo.int,official,1967,Geneva.
G019,IFAD — Office of the Associate Vice-President,Italy,G,UN agency office,C,Verification pending,https://www.ifad.org,official,1977,Rome.
G020,UNRWA — Department of Education,Jordan,G,UN agency department,B,Verification pending,https://www.unrwa.org,official,1949,Amman.
G021,CTBTO — Preparatory Commission,Austria,G,UN-related organization,B,Verification pending,https://www.ctbto.org,official,1996,Vienna.
G022,IAEA — Department of Safeguards,Austria,G,UN agency department,B,Verification pending,https://www.iaea.org,official,1957,Vienna.
G023,OPCW — Inspectorate Division,Netherlands,G,UN-related organization division,B,Verification pending,https://www.opcw.org,official,1997,The Hague.
G024,UNCCD — Global Mechanism,Germany,G,UN convention mechanism,B,Verification pending,https://www.unccd.int,official,1994,Bonn.
G025,UNFCCC — Secretariat,Germany,G,UN convention secretariat,B,Verification pending,https://unfccc.int,official,1992,Bonn.
H001,International Committee of the Red Cross (ICRC),Switzerland,H,International humanitarian organization,C,Verification pending,https://www.icrc.org,official,1863,Geneva.
H002,International Federation of Red Cross and Red Crescent Societies (IFRC),Switzerland,H,International humanitarian federation,C,Verification pending,https://www.ifrc.org,official,1919,Geneva.
H003,Amnesty International,United Kingdom,H,International human rights NGO,C,Verification pending,https://www.amnesty.org,official,1961,London.
H004,Human Rights Watch,United States,H,International human rights NGO,C,Verification pending,https://www.hrw.org,official,1978,New York.
H005,International Crisis Group,Belgium,H,International conflict prevention NGO,B,Verification pending,https://www.crisisgroup.org,official,1995,Brussels.
H006,Transparency International,Germany,H,International anti-corruption NGO,B,Verification pending,https://www.transparency.org,official,1993,Berlin.
H007,International Rescue Committee,United States,H,International humanitarian NGO,B,Verification pending,https://www.rescue.org,official,1933,New York.
H008,Oxfam International,United Kingdom,H,International development NGO confederation,B,Verification pending,https://www.oxfam.org,official,1995,Oxford.
H009,Save the Children International,United Kingdom,H,International children's rights NGO,B,Verification pending,https://www.savethechildren.net,official,1919,London.
H010,World Economic Forum,Switzerland,H,International economic forum NGO,B,Verification pending,https://www.weforum.org,official,1971,Cologny/Geneva.
H011,World Wildlife Fund (WWF),Switzerland,H,International conservation NGO,B,Verification pending,https://www.worldwildlife.org,official,1961,Gland.
H012,Greenpeace International,Netherlands,H,International environmental NGO,B,Verification pending,https://www.greenpeace.org,official,1971,Amsterdam.
H013,International Federation of Journalists (IFJ),Belgium,H,International journalists' federation,B,Verification pending,https://www.ifj.org,official,1926,Brussels.
H014,Reporters Without Borders (RSF),France,H,International press freedom NGO,B,Verification pending,https://rsf.org,official,1985,Paris.
H015,International Bar Association,United Kingdom,H,International lawyers' association,B,Verification pending,https://www.ibanet.org,official,1947,London.
H016,International Chamber of Commerce (ICC),France,H,International business organization,B,Verification pending,https://iccwbo.org,official,1919,Paris.
H017,World Federation of United Nations Associations (WFUNA),United States,H,International UN support NGO,B,Verification pending,https://wfuna.org,official,1946,New York.
H018,SIPRI (Stockholm International Peace Research Institute),Sweden,H,Independent research institute,B,Verification pending,https://www.sipri.org,official,1966,Stockholm.
H019,International Institute for Democracy and Electoral Assistance (IDEA),Sweden,H,Intergovernmental organization,B,Verification pending,https://www.idea.int,official,1995,Stockholm.
H020,Parliamentary Assembly of the Council of Europe,France,H,International parliamentary assembly,B,Verification pending,https://www.assembly.coe.int,official,1949,Strasbourg.
H021,Venice Commission (European Commission for Democracy through Law),France,H,Council of Europe advisory body,B,Verification pending,https://www.venice.coe.int,official,1990,Strasbourg.
H022,European Court of Human Rights,France,H,International court,C,Verification pending,https://www.echr.coe.int,official,1959,Strasbourg.
H023,European Court of Justice,Luxembourg,H,International court,C,Verification pending,https://curia.europa.eu,official,1952,Luxembourg.
H024,Permanent Court of Arbitration,Netherlands,H,International arbitration court,B,Verification pending,https://www.pca-cpa.org,official,1899,The Hague.
H025,International Court of Justice (ICJ),Netherlands,H,International court,C,Verification pending,https://www.icj-cij.org,official,1945,The Hague.
H026,International Tribunal for the Law of the Sea (ITLOS),Germany,H,International tribunal,B,Verification pending,https://www.itlos.org,official,1996,Hamburg.
H027,International Criminal Court (ICC),Netherlands,H,International criminal court,B,Verification pending,https://www.icc-cpi.int,official,2002,The Hague.
H028,Special Court for Sierra Leone,Sierra Leone,H,International criminal tribunal,B,Verification pending,https://www.rscsl.org,official,2002,Freetown.
H029,Extraordinary Chambers in the Courts of Cambodia (ECCC),Cambodia,H,International criminal tribunal,B,Verification pending,https://www.eccc.gov.kh,official,2006,Phnom Penh.
I001,World Bank Group,United States,I,International financial institution,C,Verification pending,https://www.worldbank.org,official,1944,"Washington, D.C."
I002,International Monetary Fund (IMF),United States,I,International financial institution,C,Verification pending,https://www.imf.org,official,1944,"Washington, D.C."
I003,Asian Development Bank (ADB),Philippines,I,Regional development bank,C,Verification pending,https://www.adb.org,official,1966,Mandaluyong.
I004,African Development Bank (AfDB),Ivory Coast,I,Regional development bank,C,Verification pending,https://www.afdb.org,official,1964,Abidjan.
I005,Inter-American Development Bank (IDB),United States,I,Regional development bank,C,Verification pending,https://www.iadb.org,official,1959,"Washington, D.C."
R001,World Protocol Academy (WPA),North Macedonia,R,Independent protocol and diplomatic training institution,A,WPA internal record,https://worldprotocolacademy-code.github.io,official,2026,World Protocol Academy — independent institution. Not verified by external source in this dataset.
