id,name,country,group,institution_type,protocol_relevance_level,verification_status,website,website_status,established,notes,parent_id,counted_as_distinct_external_institution
A016,Japan National Institute for Defense Studies,Japan,A,Government defense and strategic studies institute,A,Verification pending,https://www.nids.mod.go.jp,official,1952,Tokyo.,,true
A017,Australian National University — Crawford School of Public Policy,Australia,A,University school,A,Verification pending,https://crawford.anu.edu.au,official,—,Canberra.,,true
A018,German Federal Academy for Security Policy,Germany,A,Government security policy academy,A,Verification pending,https://www.baks.bund.de,official,—,Berlin.,,true
A019,Italian National School of Government (SNA),Italy,A,Government administrative school,A,Verification pending,https://www.sna.gov.it,official,—,Rome.,,true
A020,Turkish National Police Academy,Turkey,A,Government police academy,A,Verification pending,https://www.pa.edu.tr,official,—,Ankara.,,true
A021,Royal College of Defence Studies,United Kingdom,A,Government defense college,A,Verification pending,https://www.rcds.co.uk,official,1927,London.,,true
A022,Korea National Diplomatic Academy,South Korea,A,Government diplomatic academy,A,Verification pending,https://www.knda.go.kr,official,—,Seoul.,,true
A023,Brazilian Rio Branco Institute,Brazil,A,Government diplomatic academy,A,Verification pending,https://www.institutoriobranco.itamaraty.gov.br,official,1945,Brasília.,,true
A024,South African Foreign Service Institute,South Africa,A,Government diplomatic training institute,A,Verification pending,https://www.dirco.gov.za,official_parent_institution,—,Pretoria.,,true
A025,Swiss Federal Institute of Technology — Center for Security Studies,Switzerland,A,University research center,A,Verification pending,https://css.ethz.ch,official_program_page,—,ETH Zürich.,,true
A026,International Organization of Ceremonial and Protocol (OICP),Spain,A,International nonprofit ceremonial and protocol professional organization,A,VERIFIED — primary source + independent institutional corroboration,https://www.oicp-protocolo.com/,official_primary_source_reviewed,2001,"Founded 16 November 2001 in Palma de Mallorca, Spain. International non-profit organization advancing ceremonial and protocol, professional standards, research and international exchange; organizes the International Congress of Protocol and maintains specialized bodies including the International Academy of Ceremonial and Protocol (AICP) and the International Data Center. Primary source reviewed: https://www.oicp-protocolo.com/quienes-somos/ . Independent professional corroboration reviewed through the Asociación Española de Protocolo.",,true
A027,The British Protocol Academy,United Kingdom,A,"Private protocol, etiquette and diplomacy training institution",A,VERIFIED — primary source + LinkedIn corroboration,https://thebritishprotocolacademy.com/,official_primary_source_reviewed,—,"London-based provider of protocol, diplomacy, etiquette, executive presence, cross-cultural communication and institutional training. Current London address independently confirmed from official site. Founding year remains unresolved pending documentary confirmation.",,true
A028,World Protocol School (WPS),Hungary / Malta,A,Protocol and diplomacy education / training institution,A,VERIFIED — primary source; entity-structure note retained,https://www.worldprotocolschool.org/,official_primary_source_reviewed,—,Official site describes WPS as a registered Tuition Centre with Maltese education-related registration claims and a Budapest/Malta operating structure. Retain entity-resolution note pending final verification of legal/operational structure.,,true
A029,Organisation of International Protocol Professionals (OIPP),Hungary,A,Professional protocol association / educational body,A,VERIFIED — primary source + institutional corroboration,https://nprsz.hu/en/,official_primary_source_reviewed,2017,"Hungarian professional protocol association with educational, professional-development and international knowledge-centre objectives. Canonical English name uses “Organisation”.",,true
A030,International Centre for Protocol and Diplomacy (ICPD),United Kingdom,A,"Protocol and diplomacy education, research, training and consultancy institution",A,VERIFIED — primary source + UK Companies House,https://icpdglobal.com/,official_primary_source_reviewed,2020,"London-based protocol and diplomacy entity operating in education, research, training, consultancy and networking; incorporated 15 Nov 2020 according to UK corporate registry evidence reviewed during REV5 preparation.",,true
A031,Association of Certified Protocol Practitioners of Nigeria (ACPPN),Nigeria,A,Professional protocol association / training body,A,VERIFIED — primary source + professional corroboration,https://acppn.org/,official_primary_source_reviewed,2015,"Promotes protocol practice, professional training, qualifications and certification; canonical current name uses “Practitioners”.",,true
A032,Protocol & Diplomacy International – Protocol Officers Association (PDI-POA),United States,A,International professional protocol and diplomacy association,A,VERIFIED — primary source + LinkedIn institutional corroboration,https://www.protocolinternational.org/,official_primary_source_reviewed,2002,"Washington, DC-facing professional association supporting protocol officers through training, continuing education, networking and membership activity. The similarly named LinkedIn legacy/secondary page is treated as the same institutional family and is not a separate record.",,true
A033,International Etiquette and Protocol Academy of London (IEPAL),United Kingdom,A,"International etiquette, protocol and diplomacy certification / training academy",A,VERIFIED — official site + UK Companies House,https://iepalondon.com/,official_primary_source_reviewed,2015,"London-based training and certifying body for Minding Manners International; offers International Protocol & Diplomacy, business, social and youth etiquette certification. UK company no. 09869223, incorporated 12 Nov 2015. Registry currently shows “Active — Active proposal to strike off” and overdue filing warnings; retain this status note in verification metadata until resolved.",,true
A034,Étiquette & Protocole Academy,Morocco,A,Private etiquette and protocol training academy,A,VERIFIED — primary source + LinkedIn corroboration,https://etiquette-academy.com/,official_primary_source_reviewed,2011,"Founded by Zineb Khoudraji in 2011; official site describes it as the first centre of its kind in Morocco / Maghreb, delivering etiquette, protocol, hospitality and professional training.",,true
A035,EIPS — École Internationale du Protocole et du Savoir-Vivre,France,A,"Historical protocol, savoir-vivre and intercultural training school",A,VERIFIED — French registry + historical professional sources · INACTIVE,,historical_registry_confirmed_no_active_official_site,2017,"Paris-based EIPS operated training in diplomatic protocol, public relations and intercultural communication. French registry evidence shows SIREN 824 599 849 and removal from the RCS/RNE on 25 Oct 2023. Retain as historical/inactive record, not as a currently operating school. Historical domain referenced in archival material: www.eipsparis.com.",,true
A036,The Protocol Academy of Georgia,United States,A,Private protocol and etiquette training institution,A,CORROBORATED — LinkedIn institutional page plus business/registration evidence; official-domain review incomplete,https://theprotocolacademyofgeorgia.com/,reported_official_domain,2003,"Columbus, Georgia, USA. The geographic label refers to the U.S. state, not the country Georgia. Business profiles report activity since 2003; LLC registration chronology should remain separately documented.",,true
A037,The International Protocol Academy of Japan (ICPA),Japan,A,Private international protocol academy,A,VERIFIED — primary source plus LinkedIn institutional corroboration,https://icpa-in.com/,official_primary_source_reviewed,2016,"Tokyo-based academy focused on international protocol, etiquette and intercultural communication. Accreditation assertions remain attributed to the institution and are not independently endorsed by WPA.",,true
A038,Diplomatic Academy of the Caribbean (DAOC),Trinidad and Tobago,A,University-affiliated diplomatic studies training centre,A,VERIFIED — University of the West Indies primary source plus LinkedIn corroboration,https://sta.uwi.edu/daoc/,official_parent_institution,2014,"Integral part of D025 — University of the West Indies, Institute of International Relations. Retained as an audit-visible academy record but not counted as a separate distinct external institution.",D025,False
A039,Diplomatic Institute to the Minister of Foreign Affairs of the Republic of Bulgaria,Bulgaria,A,Government diplomatic training institute,A,VERIFIED — Bulgarian government / institute primary sources,https://bdi.bg/en/,official_primary_source_reviewed,2003,Already present elsewhere in WPA benchmark/institute content; REV6 normalizes it into the canonical Master List rather than treating it as a first-time WPA discovery.,,true
A040,DiploFoundation,Malta / Switzerland,A,Non-profit diplomacy and digital-policy capacity-development foundation,A,VERIFIED — primary source plus institutional corroboration,https://www.diplomacy.edu/,official_primary_source_reviewed,2002,"Diplomacy, digital diplomacy, internet governance and emerging-technology capacity development.",,true
A041,Anwar Gargash Diplomatic Academy (AGDA),United Arab Emirates,A,Diplomatic academy / higher-education and executive-training institute,A,VERIFIED — primary source,https://www.agda.ac.ae/,official_primary_source_reviewed,2015,"Graduate education, executive diplomatic training and foreign-policy research in the UAE.",,true
A042,European Academy of Diplomacy (EAD),Poland,A,Non-governmental diplomatic academy and executive-training institution,A,VERIFIED — primary source plus European institutional corroboration,https://diplomats.pl/en/,official_primary_source_reviewed,2004,Warsaw-based diplomatic education and professional training institution.,,true
A043,Institute for Cultural Diplomacy (ICD) / Academy for Cultural Diplomacy,Germany / United States,A,Non-profit cultural-diplomacy education and research institution,A,VERIFIED — primary source plus LinkedIn institutional corroboration,https://www.culturaldiplomacy.org/,official_primary_source_reviewed,1999,Institute and Academy branding are treated as one institutional family and not as two distinct records.,,true
A044,Diplomatic Academy Nepal (DAN),Nepal,A,Independent diplomatic training and academic institution,A,VERIFIED — primary source plus Bulgarian Diplomatic Institute corroboration,https://diplomaticacademynepal.com/,official_primary_source_reviewed,—,"Training includes diplomacy, protocol, negotiation, public diplomacy and technology-related diplomatic practice.",,true
A045,Foreign Service Academy (Kenya),Kenya,A,Government foreign-service academy,A,VERIFIED — Foreign Service Academy and Kenya MFA primary sources,https://www.fsa.go.ke/,official_primary_source_reviewed,2017,Predecessor Foreign Service Institute established in 2006; transformed into the Foreign Service Academy in 2017.,,true
A046,Protocol International (Netherlands),Netherlands,A,Protocol consultancy and professional training institute,A,VERIFIED — primary source plus professional corroboration,https://www.protocol-int.com/,official_primary_source_reviewed,2007,The Hague-based entity founded by Gilbert Monod de Froideville. Kept distinct from the U.S. namesake A047.,,true
A047,Protocol International (United States),United States,A,"Protocol, etiquette and executive training consultancy",A,VERIFIED — primary source plus LinkedIn institutional corroboration,https://protocolinternational.online/,official_primary_source_reviewed,2001,Cheryl Walker-Robertson / U.S. entity. Kept distinct from the Netherlands namesake A046.,,true
A048,US Institute of Diplomacy and Human Rights (USIDHR),United States,A,Non-profit diplomacy and human-rights training institute,A,VERIFIED — primary institutional source; accreditation/certification claims not independently endorsed by WPA,https://usidhr.org/,official_primary_source_reviewed,—,"Offers diplomacy, human-rights, business and professional certification training. WPA records the institution without validating marketing or accreditation claims.",,true
A049,ProtocolToday Academy of Soft Diplomacy and Protocol,Netherlands,A,Protocol and soft-diplomacy training and consultancy academy,A,VERIFIED — primary source plus LinkedIn institutional corroboration,https://protocoltoday.nl/academy/,official_primary_source_reviewed,—,"The Hague-based academy and capacity-development company. ProtocolToday and its Academy are one institutional record, not two.",,true
A050,Diplomacy Academy of the Ministry of Foreign Affairs of Türkiye,Türkiye,A,Government diplomatic academy,A,VERIFIED — Türkiye MFA primary source plus institutional corroboration,https://www.mfa.gov.tr/diplomacy-academy.en.mfa,official_primary_source_reviewed,1968,Institution traces to the Foreign Affairs Academy established in 1968; later reorganized/renamed as the Diplomacy Academy.,,true
A051,Diplomatic Academy of the Ministry of Foreign Affairs of Serbia,Serbia,A,Government diplomatic academy,A,VERIFIED — Serbia MFA primary source,https://www.mfa.gov.rs/en/ministry/diplomatic-academy,official_primary_source_reviewed,—,Official diplomatic training structure of Serbia’s Ministry of Foreign Affairs.,,true
A052,Diplomatic Academy of the Ministry of Foreign and European Affairs of Croatia,Croatia,A,Government diplomatic academy,A,VERIFIED — Croatia MFA primary source,https://mvep.gov.hr/foreign-policy/bilateral-relations/diplomatic-academy/22727,official_primary_source_reviewed,—,Government diplomatic training and professional-development structure.,,true
A053,Hungarian Diplomatic Academy,Hungary,A,Government diplomatic academy,A,VERIFIED — Hungarian foreign-affairs institutional sources,https://mfa.gov.hu/,official_parent_institution,2020,Educational institution linked to Hungary’s foreign-affairs administration; legal/organizational framework documented from 2020.,,true
A054,Diplomatic Academy of the Ministry of Foreign Affairs of the Kyrgyz Republic named after Kazy Dikambaev,Kyrgyzstan,A,Government diplomatic academy,A,VERIFIED — academy primary source,https://dipacademy.kg/,official_primary_source_reviewed,2001,"Established in 2001, with an institutional predecessor dating to 1998.",,true
A055,Foreign Service Academy of the Federal Foreign Office,Germany,A,Government foreign-service training academy,A,VERIFIED — Federal Foreign Office primary sources,https://www.auswaertiges-amt.de/en/,official_parent_institution,—,Federal Foreign Office training academy in Berlin-Tegel for German foreign-service personnel.,,true
A056,Moroccan Academy for Diplomatic Studies (AMED),Morocco,A,Government diplomatic training academy,A,CORROBORATED — Moroccan diplomatic/government sources plus international institutional references,https://diplomatie.ma/en/,official_parent_institution,—,Diplomatic training academy associated with Morocco’s Ministry of Foreign Affairs. Dedicated current institutional-domain status should continue to be monitored.,,true
A057,"Mediterranean Academy of Diplomatic Studies (MEDAC), University of Malta",Malta,A,University-based diplomatic academy,A,VERIFIED — University of Malta primary source,https://www.um.edu.mt/medac/,official_primary_source_reviewed,1990,Established by Malta with Swiss support; specialist postgraduate diplomatic studies institution.,,true
A058,Kyiv School of Diplomatic Arts (KSDA),Ukraine,A,Independent diplomatic education and professional training school,A,VERIFIED — primary source,https://ksda.com.ua/,official_primary_source_reviewed,2019,"Diplomacy, negotiation, public speaking, intercultural communication and diplomatic skills. Kept distinct from unresolved historical references to Kyiv-Mohyla School of Diplomacy.",,true
A059,University of World Economy and Diplomacy (UWED),Uzbekistan,A,Government-affiliated university specializing in diplomacy and international affairs,A,VERIFIED — university and Uzbekistan foreign-affairs primary sources,https://www.uwed.uz/en,official_primary_source_reviewed,1992,"University under the foreign-affairs system with direct specialization in diplomacy, international relations, law and economics.",,true
A060,Diplomatic Academy of Vietnam (DAV),Vietnam,A,Government-affiliated diplomatic academy and university,A,VERIFIED — academy primary source,https://dav.edu.vn/en/,official_primary_source_reviewed,1959,"Institution traces its origins to 1959 and operates in diplomatic education, research and foreign-affairs training.",,true
A061,DIRCO Diplomatic Academy and International School,South Africa,A,Government diplomatic training academy,A,VERIFIED — South African DIRCO primary sources,https://dirco.gov.za/,official_parent_institution,—,Diplomatic training function within South Africa’s Department of International Relations and Cooperation.,,true
A062,"USEK Diplomacy Academy, Holy Spirit University of Kaslik",Lebanon,A,University-based diplomacy academy,A,VERIFIED — university primary source,https://www.usek.edu.lb/,official_parent_institution,—,Diplomacy academy within Holy Spirit University of Kaslik; counted as an operational academy because the parent university is not otherwise represented as the same canonical entity.,,true
A063,"The Fletcher School of Law and Diplomacy, Tufts University",United States,A,University graduate school of international affairs and diplomacy,A,VERIFIED — Tufts University primary source,https://fletcher.tufts.edu/,official_primary_source_reviewed,1933,"Graduate school specializing in diplomacy, international law, security, economics and global affairs.",,true
A064,"School of Diplomacy and International Relations, Seton Hall University",United States,A,University school of diplomacy and international relations,A,VERIFIED — Seton Hall University primary source,https://www.shu.edu/diplomacy/,official_primary_source_reviewed,1997,"Specialist school for diplomacy, international relations and global affairs.",,true
A065,"Institute for the Study of Diplomacy, Georgetown University",United States,A,University diplomacy research and education institute,A,VERIFIED — Georgetown University primary source,https://isd.georgetown.edu/,official_primary_source_reviewed,1978,"Located within Georgetown’s School of Foreign Service, already represented as A011. Retained as an audit-visible specialist subunit and not counted as a separate distinct external institution.",A011,False
A066,Indian Academy of International Law and Diplomacy,India,A,Teaching wing / academy for international law and diplomacy,A,VERIFIED — Indian Society of International Law primary source,https://www.isil-aca.org/,official_parent_institution,1964,Teaching wing of H032 — Indian Society of International Law. Retained as an audit-visible specialist academy and not counted as a second distinct institution.,H032,False
A067,"Institute for Diplomacy and International Affairs, Loughborough University London",United Kingdom,A,University institute for diplomacy and international affairs,A,VERIFIED — Loughborough University primary source,https://www.lboro.ac.uk/london/research/diplomacy-international-affairs/,official_primary_source_reviewed,2017,Current institutional successor/context for the earlier Academy of Diplomacy and International Governance at Loughborough University London; historical academy branding is not counted separately.,,true
A068,Folke Bernadotte Academy (FBA),Sweden,A,"Swedish government agency for peace, security and international capacity development",B,VERIFIED — Swedish government / FBA primary source,https://fba.se/en/,official_primary_source_reviewed,2002,"Government agency under Sweden’s Ministry for Foreign Affairs; relevant through international training, peacebuilding, mediation, security and diplomatic capacity development.",,true
A069,"Faculty of Diplomacy and Security (FDB), Belgrade",Serbia,A,Higher-education faculty specializing in diplomacy and security,A,VERIFIED — current institutional source; predecessor academy relationship retained in notes,https://www.fdb.edu.rs/,official_primary_source_reviewed,2014,"Current faculty form; historical/legacy references to Academy for Diplomacy and Security are treated as predecessor/alias context, not a second institution.",,true
A070,Mount Protocol Ltd,United Kingdom,A,"Protocol, etiquette and VIP-hospitality training consultancy",A,VERIFIED — primary source plus UK corporate-registration corroboration,https://mountprotocol.com/,official_primary_source_reviewed,2023,"London-based training consultancy. Company no. 14793278; incorporated 11 April 2023. Programmes include international diplomatic protocol, business etiquette, cross-cultural communication and VIP protocol.",,true
B001,International Institute for Strategic Studies (IISS),United Kingdom,B,Independent think tank,B,Verification pending,https://www.iiss.org,official,1958,London. Publisher of The Military Balance and Strategic Survey.,,true
B002,Chatham House (Royal Institute of International Affairs),United Kingdom,B,Independent think tank,B,Verification pending,https://www.chathamhouse.org,official,1920,London.,,true
B003,Brookings Institution,United States,B,Independent think tank,B,Verification pending,https://www.brookings.edu,official,1916,"Washington, D.C.",,true
B004,Carnegie Endowment for International Peace,United States,B,Independent think tank,B,Verification pending,https://carnegieendowment.org,official,1910,"Washington, D.C.",,true
B005,Council on Foreign Relations,United States,B,Independent think tank,B,Verification pending,https://www.cfr.org,official,1921,New York.,,true
B006,German Council on Foreign Relations (DGAP),Germany,B,Independent think tank,B,Verification pending,https://dgap.org,official,1952,Berlin.,,true
B007,French Institute of International Relations (IFRI),France,B,Independent think tank,B,Verification pending,https://www.ifri.org,official,1979,Paris.,,true
B008,Saudi Arabia MOFA / Protocol School of Washington,Saudi Arabia,B,Reported cooperation model,A,Verification pending,,left_blank_not_safely_resolved,—,Methodological observation only. Reported cooperation model. Not verified institutional entity.,,true
B009,Clingendael Institute (Netherlands Institute of International Relations),Netherlands,B,Independent think tank,B,Verification pending,https://www.clingendael.org,official,1983,The Hague.,,true
B010,Swedish Institute of International Affairs (UI),Sweden,B,Independent think tank,B,Verification pending,https://www.ui.se,official,1938,Stockholm.,,true
B011,Norwegian Institute of International Affairs (NUPI),Norway,B,Independent think tank,B,Verification pending,https://www.nupi.no,official,1959,Oslo.,,true
B012,Danish Institute for International Studies (DIIS),Denmark,B,Independent think tank,B,Verification pending,https://www.diis.dk,official,2003,Copenhagen.,,true
B013,Finnish Institute of International Affairs (FIIA),Finland,B,Independent think tank,B,Verification pending,https://www.fiia.fi,official,1961,Helsinki.,,true
B014,Polish Institute of International Affairs (PISM),Poland,B,Independent think tank,B,Verification pending,https://www.pism.pl,official,1996,Warsaw.,,true
B015,Czech Institute of International Relations,Czech Republic,B,Independent think tank,B,Verification pending,https://www.iir.cz,official,—,Prague.,,true
B016,Hungarian Institute of International Affairs,Hungary,B,Independent think tank,B,Verification pending,https://www.iir.hu,official,—,Budapest.,,true
B017,Romanian Institute for Political Studies and International Relations,Romania,B,Independent think tank,B,Verification pending,https://www.ier.ro,official,—,Bucharest.,,true
B018,Bulgarian Institute for Legal Sciences,Bulgaria,B,Research institute,B,Verification pending,https://www.ils-bg.com,official,—,Sofia.,,true
B019,Slovak Foreign Policy Association,Slovakia,B,Independent think tank,B,Verification pending,https://www.sfpa.sk,official,—,Bratislava.,,true
B020,Croatian Institute of International Relations,Croatia,B,Independent think tank,B,Verification pending,https://www.irimo.hr,official,—,Zagreb.,,true
B021,Serbian Institute of International Politics and Economics,Serbia,B,Research institute,B,Verification pending,https://www.dipe.rs,official,—,Belgrade.,,true
B022,Slovenian International Relations and Security Studies Centre,Slovenia,B,Research center,B,Verification pending,https://www.cirss.si,official,—,Ljubljana.,,true
B023,Estonian Foreign Policy Institute,Estonia,B,Independent think tank,B,Verification pending,https://www.evpi.ee,official,—,Tallinn.,,true
B024,Latvian Institute of International Affairs,Latvia,B,Independent think tank,B,Verification pending,https://www.liia.lv,official,—,Riga.,,true
B025,Lithuanian Foreign Policy Institute,Lithuania,B,Independent think tank,B,Verification pending,https://www.ltpi.lt,official,—,Vilnius.,,true
B026,Asian Institute of Diplomacy and International Affairs (AIDIA),Nepal,B,Independent diplomacy and international-affairs think tank / graduate-school institution,B,VERIFIED — primary source,https://aidiaasia.org/,official_primary_source_reviewed,2014,"Research, dialogue, policy engagement and graduate education in international affairs, economy and diplomacy.",,true
B027,Institut Open Diplomacy,France,B,Independent foreign-policy and diplomacy think tank,B,VERIFIED — primary source / legal notice,https://www.open-diplomacy.fr/,official_primary_source_reviewed,2010,"Paris-based think tank focused on international affairs, policy dialogue and public engagement.",,true
B028,European Institute of International Studies (EIIS),Sweden / Spain,B,Independent research and education institute / think tank,B,VERIFIED — primary source,https://ieei.eu/,official_primary_source_reviewed,2008,"Founded in Spain in 2008; activities in Sweden from 2010 and registered there as a civil association in 2017. Focuses on international relations, diplomacy, security, governance and emerging technologies.",,true
B029,"Centre for Security, Diplomacy and Strategy (CSDS), Vrije Universiteit Brussel",Belgium,B,University research centre,B,VERIFIED — VUB primary source,https://csds.vub.be/,official_primary_source_reviewed,—,"Research hub at the Brussels School of Governance covering security, strategy and diplomacy.",,true
B030,Public Diplomacy Institute (PDI),Serbia,B,Non-governmental non-profit public-diplomacy think tank,B,VERIFIED — primary source,https://pdi.rs/,official_primary_source_reviewed,—,"Serbia-based think tank focused on public diplomacy, international cooperation, democratic capacity and Euro-Atlantic affairs.",,true
B031,"Sié Chéou-Kang Center for International Security and Diplomacy, University of Denver",United States,B,University research and education center,B,VERIFIED — University of Denver primary source,https://korbel.du.edu/sie/,official_primary_source_reviewed,2009,Josef Korbel School center advancing research and practice in international security and diplomacy.,,true
B032,Center for Communication Development and Diplomacy in Africa (CCDDA),Nigeria,B,"Pan-African communication, development and diplomacy institution",B,VERIFIED — primary institutional source; legal-form verification remains pending,https://ccdda.org/,official_primary_source_reviewed,—,"Abuja-based institution focused on strategic communication, diplomatic engagement, governance and capacity development, including protocol and negotiation training.",,true
B033,"Penn Biden Center for Diplomacy and Global Engagement, University of Pennsylvania",United States,B,University diplomacy and global-policy center / program,B,VERIFIED — University of Pennsylvania primary source,https://global.upenn.edu/penn-washington/penn-washington-global-programs/,official_primary_source_reviewed,2017,Current Penn Washington global-policy structure builds on and retains the Penn Biden Center for Diplomacy and Global Engagement.,,true
C001,Geneva Centre for Security Policy (GCSP),Switzerland,C,International organization-affiliated training center,B,Verification pending,https://www.gcsp.ch,official,1995,Geneva.,,true
C002,United Nations Institute for Training and Research (UNITAR),Switzerland,C,UN training institute,B,Verification pending,https://www.unitar.org,official,1963,Geneva.,,true
C003,NATO Defense College,Italy,C,NATO training institution,B,Verification pending,https://www.ndc.nato.int,official,1951,Rome.,,true
C004,EU College of Europe,Belgium,C,EU-affiliated academic institution,B,Verification pending,https://www.coleurope.eu,official,1948,Bruges.,,true
C005,OSCE Academy in Bishkek,Kyrgyzstan,C,OSCE-affiliated training center,B,Verification pending,https://www.osce-academy.net,official,2002,Bishkek.,,true
C006,African Union Peace and Security Council Training Centre,Ethiopia,C,AU training center,B,Verification pending,https://www.au.int,official_parent_institution,—,Addis Ababa.,,true
C007,ASEAN Secretariat Training Division,Indonesia,C,ASEAN training division,B,Verification pending,https://asean.org,official_parent_institution,—,Jakarta.,,true
C008,OAS Inter-American Defense College,United States,C,OAS training institution,B,Verification pending,https://www.iadc.edu,official,1962,"Washington, D.C.",,true
C009,"Arab League Educational, Cultural and Scientific Organization (ALECSO)",Tunisia,C,Arab League organization,B,Verification pending,https://www.alecso.org,official,1970,Tunis.,,true
C010,"Organization of Islamic Cooperation (OIC) — Research Centre for Islamic History, Art and Culture",Turkey,C,OIC research center,B,Verification pending,https://www.ircica.org,official,—,Istanbul.,,true
C011,Shanghai Cooperation Organization (SCO) University,China,C,SCO-affiliated university network,B,Verification pending,,left_blank_not_safely_resolved,—,Network across SCO member states.,,true
C012,Commonwealth Secretariat — Diplomatic Training Programme,United Kingdom,C,Commonwealth training programme,A,Verification pending,https://thecommonwealth.org,official_parent_institution,—,London.,,true
C013,Mercosur Institute of International Trade,Argentina,C,Mercosur training institute,B,Verification pending,https://www.mercosur.int,official_parent_institution,—,Buenos Aires.,,true
C014,Pacific Islands Forum Secretariat,Fiji,C,Regional organization secretariat,B,Verification pending,https://www.forumsec.org,official,1971,Suva.,,true
C015,Caribbean Community (CARICOM) Secretariat,Guyana,C,Regional organization secretariat,B,Verification pending,https://caricom.org,official,1973,Georgetown.,,true
C016,Economic Community of West African States (ECOWAS) — Peace and Security Directorate,Nigeria,C,Regional organization directorate,B,Verification pending,https://www.ecowas.int,official_parent_institution,1975,Abuja.,,true
C017,East African Community (EAC) Secretariat,Tanzania,C,Regional organization secretariat,B,Verification pending,https://www.eac.int,official,2000,Arusha.,,true
C018,"Southern African Development Community (SADC) — Organ on Politics, Defence and Security Cooperation",Botswana,C,Regional organization organ,B,Verification pending,https://www.sadc.int,official_parent_institution,—,Gaborone.,,true
C019,Gulf Cooperation Council (GCC) — General Secretariat,Saudi Arabia,C,Regional organization secretariat,B,Verification pending,https://www.gcc-sg.org,official,1981,Riyadh.,,true
C020,Organization for Security and Co-operation in Europe (OSCE) — Conflict Prevention Centre,Austria,C,OSCE center,B,Verification pending,https://www.osce.org,official,—,Vienna.,,true
C021,Council of Europe — European Directorate for the Quality of Medicines & HealthCare,France,C,Council of Europe directorate,B,Verification pending,https://www.edqm.eu,official,—,Strasbourg.,,true
C022,International Criminal Court (ICC) — Training and Capacity Building,Netherlands,C,International court training unit,B,Verification pending,https://www.icc-cpi.int,official,2002,The Hague.,,true
C023,World Trade Organization (WTO) — Institute for Training and Technical Cooperation,Switzerland,C,WTO training institute,B,Verification pending,https://www.wto.org,official_parent_institution,—,Geneva.,,true
